x0,x1,shap0,shap1,label
-17.55967,-32.696915,48.988228,12.147496,0
-21.413286,-31.378263,48.81784,8.341431,0
-39.64764,20.508247,33.4926,-29.97038,0
-0.3966527,-59.9265,43.737984,24.123268,0
-26.720465,20.46641,6.878703,-8.987568,0
-1.8316336,-60.980366,43.89858,23.358334,0
-29.897024,-7.9367504,6.6031284,-36.36872,0
-28.625097,28.404306,28.11486,-20.32022,0
-14.448326,-26.139915,28.661642,1.1808685,0
-5.089697,-21.147812,13.846797,19.728584,0
-4.5995216,-21.395891,13.587063,19.377407,0
-42.475094,22.210627,36.128124,-29.716759,0
-1.788001,-30.832638,25.982302,6.249991,0
12.119585,-37.749565,3.4095304,31.71132,0
-17.301506,-33.10952,48.641327,12.337831,0
-44.065628,24.580524,36.96837,-25.132452,0
-27.27821,-6.3166375,7.359916,-40.02799,0
-21.058218,1.4356667,2.9763083,-14.100132,0
-26.420513,29.979597,8.877469,-9.049654,0
-1.40192,-65.679375,42.43081,30.8728,0
-23.801634,-28.399824,48.844055,7.518747,0
-26.719799,20.466389,6.837369,-9.256096,0
0.51544595,-62.237156,45.149685,21.012661,0
-2.3278828,-22.935772,14.1644,17.801565,0
-1.400743,-63.49319,44.731667,32.217377,0
-25.640123,30.078316,7.512694,-8.471863,0
-27.49402,21.422382,8.951043,-9.623188,0
10.562645,-34.37581,7.113865,16.958736,0
-3.2441804,-65.79002,42.935165,31.284811,0
-43.88864,24.267082,36.727932,-24.973295,0
-17.897327,11.323879,1.2190994,-8.576297,0
-21.4154,-0.7279475,3.0484626,-14.555695,0
-20.414015,-30.084871,48.734715,4.890477,0
13.18996,-34.12815,3.3060503,30.41951,0
-14.872242,14.999389,-1.7199497,-6.3736167,0
-12.958073,-26.48322,28.515856,2.883137,0
-13.288963,-26.26359,28.739897,2.3656235,0
-35.169098,-7.830117,4.2759714,-37.63555,0
-31.811563,-18.519299,12.731209,-48.166355,0
-0.7060834,-59.482403,44.655315,20.03492,0
-18.273699,-32.346004,47.8623,11.833278,0
21.669418,-28.476377,9.253823,23.932419,0
0.41584933,-22.874626,9.385013,23.072605,0
-17.27551,-6.1568074,17.156765,8.533416,0
-17.512547,-20.83739,31.065207,3.1398752,0
21.845625,-29.25703,7.7381425,26.567108,0
-4.249646,-28.956877,24.332499,2.0899894,0
21.845583,-29.257051,7.7381425,26.567108,0
-18.520071,-27.862782,48.75662,1.6784167,0
-21.93384,-2.0296574,5.0098634,-17.378422,0
-36.566067,24.463814,32.407135,-20.748665,0
-33.19128,-17.99223,12.322728,-47.861095,0
-9.175681,-28.323118,28.661642,1.1808685,0
-11.544972,-27.070677,28.739897,2.3656235,0
-23.236536,-26.711037,48.76992,0.26751208,0
-38.027878,-10.743429,3.1024644,-37.625816,0
-17.215885,-19.990688,31.065207,3.1398752,0
-25.413858,-25.607021,12.555221,-48.902306,0
-41.589325,26.862682,37.155468,-24.290363,0
20.299198,-31.870996,7.202809,27.364674,0
-22.641447,8.865699,5.644639,-22.405386,0
-15.326897,-6.661765,15.827146,10.798699,0
1.1711599,-64.581696,42.353836,29.187658,0
-33.632927,18.554789,30.628271,-25.14134,0
-34.220764,-16.927021,11.193592,-46.9852,0
-25.034851,-3.042357,5.8874235,-27.162312,0
-39.64967,23.321806,34.71418,-28.935678,0
-1.1261824,-56.338253,43.930115,19.718433,0
-1.317582,-29.035633,15.513518,15.054066,0
0.6967902,-23.703985,9.3081455,23.08962,0
-41.02892,21.003057,35.49156,-28.917002,0
-39.896683,-7.8550034,4.1623874,-37.319305,0
-1.4179946,-64.29886,43.898567,23.3599,0
-42.866158,24.896769,36.96837,-25.132452,0
0.91412896,-65.09486,44.678314,32.192867,0
-26.394958,-6.212111,5.249236,-32.72725,0
-20.502375,-32.475334,48.843765,7.5187516,0
-13.91229,-6.786725,7.8392215,15.650783,0
-13.188005,-8.3945265,8.228951,16.659002,0
-21.005466,0.14526556,2.397331,-14.236538,0
-16.414265,-34.76687,48.066334,11.30056,0
-32.242855,-10.073305,3.0719838,-37.017826,0
-22.710094,-31.030466,48.380497,12.282097,0
-2.1539223,-30.652607,25.778511,7.0851784,0
-18.339628,-21.086414,31.467815,2.7729635,0
-31.238605,-9.04444,5.5818257,-35.81645,0
-14.231689,15.156483,-1.3779887,-6.9133167,0
-15.267602,-8.703657,16.778652,9.701776,0
-41.840088,21.503862,34.84211,-30.921318,0
-36.459976,-7.755951,4.2328706,-27.328924,0
-5.145112,-22.008736,13.877477,20.43835,0
-29.922293,-9.230372,6.598297,-36.36251,0
-20.979666,-31.655252,48.720764,10.803965,0
-29.762957,27.738955,31.004522,-20.749125,0
-32.896515,-6.6869864,5.1294093,-26.988762,0
-25.190834,29.931564,0.04158868,-7.9351606,0
-35.689682,-5.9954166,8.226647,-40.48043,0
-29.193413,27.729029,27.852543,-20.162535,0
3.7936678,-64.43355,43.738033,24.12369,0
15.883157,-34.865826,5.3816943,32.898453,0
-34.4785,23.733671,32.399105,-20.620794,0
-44.481117,23.416044,36.130512,-29.716454,0
-38.08448,-12.964488,9.830823,-40.24911,0
-35.478027,22.737926,32.188633,-21.616793,0
-36.594467,-9.875858,4.290208,-37.43804,0
-40.4,-6.1784186,4.380635,-27.241405,0
3.6529474,-59.459198,43.42945,16.307169,0
4.365752,-21.648481,7.193979,28.35533,0
0.85557455,-60.14121,41.57867,29.405891,0
2.2922044,-59.540977,44.865074,21.304708,0
-36.988625,23.394253,32.098145,-23.60027,0
-16.397873,-16.715725,24.857597,7.892972,0
-1.6936913,-56.90039,44.011013,21.313272,0
-19.11037,-22.95076,31.453262,2.783483,0
-5.6358156,-26.624958,26.22255,6.801219,0
-24.996788,-7.1909842,12.349843,-46.400723,0
-18.283411,-23.968157,47.664684,3.4771414,0
-17.279005,-18.559025,26.329754,4.3899193,0
-39.82989,-5.436214,4.7052693,-25.392302,0
-27.689245,20.959343,9.009109,-9.632476,0
1.7578729,-60.893173,45.101807,20.739708,0
2.7111707,-64.35195,41.57999,29.405985,0
13.845972,-34.14101,3.5819173,30.888954,0
-14.532189,15.802874,-1.4505074,-6.4439754,0
13.880625,-33.684597,4.089115,29.779776,0
-17.400488,-21.660189,30.90409,3.2166114,0
16.389166,-34.910263,4.1788187,33.088375,0
-38.427242,20.787565,32.365345,-27.285854,0
-36.25665,-15.144187,10.599402,-46.089916,0
-37.823566,-6.8028307,4.0966163,-28.084251,0
-35.468025,22.377024,31.3265,-23.091642,0
-22.878382,-31.468681,48.815113,12.327194,0
-17.581753,-17.633608,24.213984,2.647173,0
-15.470526,-6.365188,15.8790455,10.483897,0
13.964484,-33.48405,4.089115,29.779776,0
0.47815812,-63.714478,44.36672,20.73165,0
-2.3355622,-66.15368,44.731663,32.217377,0
-22.440609,-30.16399,48.56193,10.779333,0
-1.1083049,-65.87374,42.369072,29.07028,0
21.669418,-28.476377,9.253823,23.932419,0
-23.439398,3.636313,4.604769,-21.240063,0
-22.367367,11.099266,5.274267,-16.95382,0
-31.82058,-18.206598,11.869143,-46.993397,0
-42.286976,24.52547,36.727932,-24.973295,0
1.2793508,-62.51437,45.000935,21.20474,0
-26.995377,19.38065,7.289707,-9.021806,0
-39.337376,-7.5135016,3.7677367,-38.03876,0
-23.390776,4.461648,4.3318653,-18.933615,0
-34.744637,-9.030721,7.4393373,-40.093647,0
-4.4203525,-30.523445,27.971397,3.537679,0
-21.465853,-31.808508,48.984867,12.157705,0
12.831468,-37.848038,3.510213,31.7144,0
-37.358883,-13.374011,8.883676,-41.88559,0
4.232047,-64.04018,42.162903,28.815947,0
-3.0092537,-28.910866,25.618364,7.0339866,0
-22.79088,9.800181,30.482332,-23.201271,0
-31.469988,26.270155,32.805225,-23.141485,0
-38.24624,22.184574,33.224915,-27.923994,0
-33.425808,22.150507,28.029165,-22.025547,0
-19.35654,-4.5877376,4.0125685,-16.662624,0
-32.83223,-18.003296,11.714342,-46.978996,0
-17.783401,-34.315937,48.066235,11.300566,0
9.483298,-33.104675,8.541833,17.540985,0
-0.22374585,-57.18722,44.071526,20.23254,0
-35.921223,-15.057811,10.599402,-46.089916,0
-39.657143,22.051537,33.520813,-28.126047,0
-1.7065253,-23.517527,15.183918,15.496551,0
1.380333,-26.161982,14.691035,18.72411,0
15.123874,-34.71856,4.02683,31.276407,0
1.9042128,-25.822075,11.1335125,22.124166,0
7.2105956,8.3598585,9.704157,-15.681842,0
-43.097298,22.19383,36.13051,-29.716454,0
-14.036524,14.85283,-1.9438607,-6.715975,0
14.896834,-33.903862,3.2476478,30.566307,0
-23.290596,-1.8634754,4.7629323,-22.419455,0
-36.652206,22.096392,31.671455,-23.231884,0
21.146484,-27.748098,9.5878,24.09809,0
-17.93826,-25.591724,48.96588,0.23168646,0
-15.9157505,13.221812,0.8400529,-8.996574,0
-0.98774993,-56.33393,43.597046,16.959156,0
-23.49812,-6.410238,8.013027,-18.57325,0
-16.38904,13.407607,0.9411818,-9.020598,0
11.656795,-34.16034,3.24415,30.452543,0
-13.510994,-27.052277,28.255623,4.0652175,0
14.861856,-35.626385,3.0530024,32.22921,0
13.18673,-35.4276,3.2476478,30.566307,0
-35.59655,22.452765,31.475758,-23.030666,0
-16.502436,-17.455425,26.354296,4.827244,0
-39.70548,23.086334,34.75982,-28.816402,0
-30.330048,26.802177,31.562765,-20.558985,0
-27.689196,20.959316,9.009109,-9.632476,0
2.424239,-63.807205,41.53345,29.089773,0
-22.295288,4.0714755,3.01743,-14.692921,0
-31.734547,-10.539933,8.149791,-40.467865,0
20.291542,-33.259014,5.985314,31.000376,0
4.365829,-21.648487,7.193979,28.35533,0
-19.64925,-29.423859,48.477596,3.0224483,0
-4.6394334,-28.524399,24.422882,2.0724404,0
-43.49137,22.37953,36.344467,-29.303947,0
-24.61618,-26.90409,48.725765,0.8857167,0
12.695035,-37.128445,4.649691,32.453407,0
-38.15031,22.730501,35.36069,-24.128763,0
21.845589,-29.257048,7.7381425,26.567108,0
1.0494943,-63.51265,44.3671,20.732449,0
-13.60803,-9.045858,16.589771,10.775265,0
-35.245792,-15.359081,11.532816,-46.412384,0
-23.797173,-26.743261,48.39718,-1.2704996,0
-15.960003,-35.642796,49.0145,11.473085,0
-5.60771,-28.56884,26.178102,6.683513,0
-22.239532,10.494743,27.517338,-22.239695,0
